gamma,delta,model,decoding,auc,w_mean_z,b_mean_z,w_median_z,b_median_z,w_tpr_z4,w_tpr_z5,b_fpr_z4,b_fpr_z5,n_w,n_b
0.25,1.0,facebook/opt-350m,multinomial,0.8055555555555555,2.829917097592975,0.06880853551491774,2.81369140178346,0.0016027395623733204,0.3333333333333333,0.3333333333333333,0.0,0.0,6,6
0.5,1.0,facebook/opt-350m,multinomial,1.0,3.7782263900672994,0.07350366393912906,3.474823934929885,0.08980265101338746,0.3333333333333333,0.16666666666666666,0.0,0.0,6,6
0.25,2.0,facebook/opt-350m,multinomial,1.0,8.848814573533861,0.0015824445354216306,8.785583315817828,0.19974182743374536,1.0,0.8333333333333334,0.0,0.0,6,6
0.5,2.0,facebook/opt-350m,multinomial,1.0,5.319968833191765,0.7499936301445983,4.9744259659238335,0.3989581223753779,0.8333333333333334,0.5,0.0,0.0,6,6
0.25,5.0,facebook/opt-350m,multinomial,1.0,14.202587605167258,0.05858273286562935,12.915354886065671,-0.2039041634968472,1.0,0.8333333333333334,0.0,0.0,6,6
0.5,5.0,facebook/opt-350m,multinomial,1.0,9.28789829342685,-0.030391259370570373,10.529042354023636,-0.09622504486493763,1.0,1.0,0.0,0.0,6,6
